,Total,class,sepal_length,sepal_width,petal_length
0,10.2,Iris-setosa,5.1,3.5,1.4
1,9.5,Iris-setosa,4.9,3.0,1.4
2,9.4,Iris-setosa,4.7,3.2,1.3
3,9.399999999999999,Iris-setosa,4.6,3.1,1.5
4,10.2,Iris-setosa,5.0,3.6,1.4
5,11.4,Iris-setosa,5.4,3.9,1.7
6,9.700000000000001,Iris-setosa,4.6,3.4,1.4
7,10.1,Iris-setosa,5.0,3.4,1.5
8,8.9,Iris-setosa,4.4,2.9,1.4
9,9.6,Iris-setosa,4.9,3.1,1.5
10,10.8,Iris-setosa,5.4,3.7,1.5
11,9.999999999999998,Iris-setosa,4.8,3.4,1.6
12,9.299999999999999,Iris-setosa,4.8,3.0,1.4
13,8.5,Iris-setosa,4.3,3.0,1.1
14,11.2,Iris-setosa,5.8,4.0,1.2
15,12.000000000000002,Iris-setosa,5.7,4.4,1.5
16,11.000000000000002,Iris-setosa,5.4,3.9,1.3
17,10.3,Iris-setosa,5.1,3.5,1.4
18,11.5,Iris-setosa,5.7,3.8,1.7
19,10.7,Iris-setosa,5.1,3.8,1.5
20,10.7,Iris-setosa,5.4,3.4,1.7
21,10.700000000000001,Iris-setosa,5.1,3.7,1.5
22,9.399999999999999,Iris-setosa,4.6,3.6,1.0
23,10.599999999999998,Iris-setosa,5.1,3.3,1.7
24,10.299999999999999,Iris-setosa,4.8,3.4,1.9
25,9.799999999999999,Iris-setosa,5.0,3.0,1.6
26,10.4,Iris-setosa,5.0,3.4,1.6
27,10.399999999999999,Iris-setosa,5.2,3.5,1.5
28,10.2,Iris-setosa,5.2,3.4,1.4
29,9.7,Iris-setosa,4.7,3.2,1.6
30,9.7,Iris-setosa,4.8,3.1,1.6
31,10.700000000000001,Iris-setosa,5.4,3.4,1.5
32,10.9,Iris-setosa,5.2,4.1,1.5
33,11.299999999999999,Iris-setosa,5.5,4.2,1.4
34,9.6,Iris-setosa,4.9,3.1,1.5
35,9.599999999999998,Iris-setosa,5.0,3.2,1.2
36,10.5,Iris-setosa,5.5,3.5,1.3
37,9.6,Iris-setosa,4.9,3.1,1.5
38,8.9,Iris-setosa,4.4,3.0,1.3
39,10.2,Iris-setosa,5.1,3.4,1.5
40,10.100000000000001,Iris-setosa,5.0,3.5,1.3
41,8.4,Iris-setosa,4.5,2.3,1.3
42,9.1,Iris-setosa,4.4,3.2,1.3
43,10.7,Iris-setosa,5.0,3.5,1.6
44,11.2,Iris-setosa,5.1,3.8,1.9
45,9.5,Iris-setosa,4.8,3.0,1.4
46,10.699999999999998,Iris-setosa,5.1,3.8,1.6
47,9.399999999999999,Iris-setosa,4.6,3.2,1.4
48,10.7,Iris-setosa,5.3,3.7,1.5
49,9.9,Iris-setosa,5.0,3.3,1.4
50,16.299999999999997,Iris-versicolor,7.0,3.2,4.7
51,15.600000000000001,Iris-versicolor,6.4,3.2,4.5
52,16.4,Iris-versicolor,6.9,3.1,4.9
53,13.100000000000001,Iris-versicolor,5.5,2.3,4.0
54,15.4,Iris-versicolor,6.5,2.8,4.6
55,14.3,Iris-versicolor,5.7,2.8,4.5
56,15.9,Iris-versicolor,6.3,3.3,4.7
57,11.600000000000001,Iris-versicolor,4.9,2.4,3.3
58,15.4,Iris-versicolor,6.6,2.9,4.6
59,13.200000000000001,Iris-versicolor,5.2,2.7,3.9
60,11.5,Iris-versicolor,5.0,2.0,3.5
61,14.600000000000001,Iris-versicolor,5.9,3.0,4.2
62,13.2,Iris-versicolor,6.0,2.2,4.0
63,15.1,Iris-versicolor,6.1,2.9,4.7
64,13.4,Iris-versicolor,5.6,2.9,3.6
65,15.600000000000001,Iris-versicolor,6.7,3.1,4.4
66,14.6,Iris-versicolor,5.6,3.0,4.5
67,13.6,Iris-versicolor,5.8,2.7,4.1
68,14.4,Iris-versicolor,6.2,2.2,4.5
69,13.1,Iris-versicolor,5.6,2.5,3.9
70,15.700000000000003,Iris-versicolor,5.9,3.2,4.8
71,14.2,Iris-versicolor,6.1,2.8,4.0
72,15.200000000000001,Iris-versicolor,6.3,2.5,4.9
73,14.799999999999997,Iris-versicolor,6.1,2.8,4.7
74,14.900000000000002,Iris-versicolor,6.4,2.9,4.3
75,15.4,Iris-versicolor,6.6,3.0,4.4
76,15.799999999999999,Iris-versicolor,6.8,2.8,4.8
77,16.4,Iris-versicolor,6.7,3.0,5.0
78,14.9,Iris-versicolor,6.0,2.9,4.5
79,12.8,Iris-versicolor,5.7,2.6,3.5
80,12.799999999999999,Iris-versicolor,5.5,2.4,3.8
81,12.600000000000001,Iris-versicolor,5.5,2.4,3.7
82,13.6,Iris-versicolor,5.8,2.7,3.9
83,15.399999999999999,Iris-versicolor,6.0,2.7,5.1
84,14.4,Iris-versicolor,5.4,3.0,4.5
85,15.5,Iris-versicolor,6.0,3.4,4.5
86,16.0,Iris-versicolor,6.7,3.1,4.7
87,14.3,Iris-versicolor,6.3,2.3,4.4
88,14.0,Iris-versicolor,5.6,3.0,4.1
89,13.3,Iris-versicolor,5.5,2.5,4.0
90,13.7,Iris-versicolor,5.5,2.6,4.4
91,15.1,Iris-versicolor,6.1,3.0,4.6
92,13.6,Iris-versicolor,5.8,2.6,4.0
93,11.6,Iris-versicolor,5.0,2.3,3.3
94,13.8,Iris-versicolor,5.6,2.7,4.2
95,14.099999999999998,Iris-versicolor,5.7,3.0,4.2
96,14.100000000000001,Iris-versicolor,5.7,2.9,4.2
97,14.7,Iris-versicolor,6.2,2.9,4.3
98,11.7,Iris-versicolor,5.1,2.5,3.0
99,13.9,Iris-versicolor,5.7,2.8,4.1
100,18.1,Iris-virginica,6.3,3.3,6.0
101,15.5,Iris-virginica,5.8,2.7,5.1
102,18.1,Iris-virginica,7.1,3.0,5.9
103,16.599999999999998,Iris-virginica,6.3,2.9,5.6
104,17.5,Iris-virginica,6.5,3.0,5.8
105,19.3,Iris-virginica,7.6,3.0,6.6
106,13.6,Iris-virginica,4.9,2.5,4.5
107,18.3,Iris-virginica,7.3,2.9,6.3
108,16.8,Iris-virginica,6.7,2.5,5.8
109,19.4,Iris-virginica,7.2,3.6,6.1
110,16.799999999999997,Iris-virginica,6.5,3.2,5.1
111,16.3,Iris-virginica,6.4,2.7,5.3
112,17.400000000000002,Iris-virginica,6.8,3.0,5.5
113,15.2,Iris-virginica,5.7,2.5,5.0
114,16.099999999999998,Iris-virginica,5.8,2.8,5.1
115,17.200000000000003,Iris-virginica,6.4,3.2,5.3
116,16.8,Iris-virginica,6.5,3.0,5.5
117,20.4,Iris-virginica,7.7,3.8,6.7
118,19.500000000000004,Iris-virginica,7.7,2.6,6.9
119,14.7,Iris-virginica,6.0,2.2,5.0
120,18.1,Iris-virginica,6.9,3.2,5.7
121,15.299999999999999,Iris-virginica,5.6,2.8,4.9
122,19.2,Iris-virginica,7.7,2.8,6.7
123,15.700000000000001,Iris-virginica,6.3,2.7,4.9
124,17.8,Iris-virginica,6.7,3.3,5.7
125,18.2,Iris-virginica,7.2,3.2,6.0
126,15.600000000000001,Iris-virginica,6.2,2.8,4.8
127,15.8,Iris-virginica,6.1,3.0,4.9
128,16.9,Iris-virginica,6.4,2.8,5.6
129,17.6,Iris-virginica,7.2,3.0,5.8
130,18.199999999999996,Iris-virginica,7.4,2.8,6.1
131,20.1,Iris-virginica,7.9,3.8,6.4
132,17.0,Iris-virginica,6.4,2.8,5.6
133,15.7,Iris-virginica,6.3,2.8,5.1
134,15.7,Iris-virginica,6.1,2.6,5.6
135,19.099999999999998,Iris-virginica,7.7,3.0,6.1
136,17.7,Iris-virginica,6.3,3.4,5.6
137,16.8,Iris-virginica,6.4,3.1,5.5
138,15.600000000000001,Iris-virginica,6.0,3.0,4.8
139,17.5,Iris-virginica,6.9,3.1,5.4
140,17.8,Iris-virginica,6.7,3.1,5.6
141,17.4,Iris-virginica,6.9,3.1,5.1
142,15.5,Iris-virginica,5.8,2.7,5.1
143,18.2,Iris-virginica,6.8,3.2,5.9
144,18.2,Iris-virginica,6.7,3.3,5.7
145,17.2,Iris-virginica,6.7,3.0,5.2
146,15.700000000000001,Iris-virginica,6.3,2.5,5.0
147,16.7,Iris-virginica,6.5,3.0,5.2
148,17.3,Iris-virginica,6.2,3.4,5.4
149,15.8,Iris-virginica,5.9,3.0,5.1
